Project Type,Team Size,Budget ($k),Duration (months),Stakeholder Count,Methodology Used,Team Experience,Risk Level
Data Analytics Platform,6,357,22,8,Agile,Senior,Medium
Mobile App,21,58,15,5,Waterfall,Mixed,Medium
Web Application,8,115,29,5,Agile,Mixed,Medium
E-Commerce Platform,4,1718,22,7,Hybrid,Junior,High
Cloud Migration,4,129,4,7,Scrum,Senior,Low
Mobile App,2,96,26,2,Agile,Senior,Medium
CRM System,14,11,30,4,Waterfall,Senior,Medium
IoT Development,5,57,31,5,Agile,Senior,Medium
AI / ML Project,14,84,24,5,Waterfall,Senior,High
IoT Development,20,79,1,5,Scrum,Senior,Medium
E-Commerce Platform,6,62,11,8,Kanban,Mixed,Medium
Data Analytics Platform,6,96,36,4,Agile,Mixed,Medium
Mobile App,6,144,21,9,Hybrid,Junior,Medium
Mobile App,3,209,24,2,Waterfall,Mixed,High
AI / ML Project,2,135,30,8,Agile,Senior,High
Mobile App,17,52,18,7,Kanban,Mixed,Medium
ERP Implementation,5,40,25,8,Hybrid,Mixed,High
AI / ML Project,10,76,7,5,Waterfall,Mixed,High
Web Application,14,229,24,5,Kanban,Senior,Medium
Data Analytics Platform,7,295,35,8,Scrum,Mixed,Medium
IoT Development,15,48,36,10,Hybrid,Senior,Medium
ERP Implementation,2,82,10,8,Kanban,Senior,Medium
AI / ML Project,5,69,3,5,Kanban,Junior,Medium
Mobile App,7,279,6,6,Scrum,Junior,Medium
Cybersecurity Solution,12,117,22,5,Scrum,Mixed,Medium
ERP Implementation,2,165,18,3,Hybrid,Junior,High
CRM System,13,85,19,5,Scrum,Junior,High
AI / ML Project,5,39,3,4,Hybrid,Junior,Medium
Web Application,3,109,14,6,Kanban,Mixed,Medium
Cloud Migration,11,72,28,5,Kanban,Senior,Medium
Mobile App,6,141,33,4,Hybrid,Senior,Medium
AI / ML Project,5,149,16,4,Scrum,Senior,Medium
Data Analytics Platform,13,268,9,7,Scrum,Mixed,Medium
E-Commerce Platform,4,80,16,6,Waterfall,Mixed,Medium
ERP Implementation,2,139,4,4,Agile,Senior,Medium
Data Analytics Platform,8,55,16,4,Waterfall,Junior,Medium
CRM System,12,86,21,5,Scrum,Mixed,Medium
ERP Implementation,8,264,25,5,Waterfall,Senior,High
E-Commerce Platform,3,129,18,3,Hybrid,Mixed,Medium
CRM System,3,33,12,4,Hybrid,Mixed,Medium
E-Commerce Platform,7,505,21,6,Waterfall,Senior,High
Cloud Migration,12,318,29,2,Hybrid,Senior,Medium
Data Analytics Platform,4,25,3,6,Kanban,Mixed,Low
Mobile App,2,106,35,2,Agile,Mixed,Medium
AI / ML Project,10,420,29,5,Waterfall,Senior,High
Cloud Migration,5,112,1,9,Scrum,Senior,Low
ERP Implementation,5,171,14,5,Kanban,Junior,Medium
CRM System,7,198,30,5,Scrum,Mixed,Medium
ERP Implementation,12,201,12,9,Agile,Junior,High
Data Analytics Platform,9,377,32,6,Waterfall,Mixed,High
AI / ML Project,4,389,8,11,Waterfall,Senior,High
ERP Implementation,15,197,7,9,Scrum,Mixed,Medium
ERP Implementation,8,491,9,4,Waterfall,Junior,High
IoT Development,13,136,1,12,Scrum,Junior,Medium
Web Application,13,39,20,4,Waterfall,Senior,Medium
IoT Development,16,57,18,6,Kanban,Mixed,High
ERP Implementation,13,207,2,4,Scrum,Junior,Medium
Web Application,6,86,18,6,Waterfall,Junior,Medium
E-Commerce Platform,5,64,26,5,Scrum,Mixed,Medium
AI / ML Project,29,393,35,4,Agile,Senior,High
E-Commerce Platform,4,63,35,6,Waterfall,Mixed,High
E-Commerce Platform,4,196,9,8,Hybrid,Senior,Medium
CRM System,15,173,7,8,Hybrid,Junior,Medium
Mobile App,26,44,27,6,Waterfall,Junior,High
Mobile App,5,222,27,6,Scrum,Senior,Medium
Cybersecurity Solution,17,647,6,2,Agile,Junior,High
AI / ML Project,26,1775,15,7,Kanban,Senior,High
CRM System,15,205,19,6,Hybrid,Senior,Medium
Mobile App,10,110,26,10,Kanban,Junior,High
E-Commerce Platform,11,199,9,5,Scrum,Senior,Low
E-Commerce Platform,13,26,4,8,Hybrid,Senior,Low
ERP Implementation,5,73,32,6,Waterfall,Mixed,High
Mobile App,18,402,13,6,Kanban,Junior,Medium
E-Commerce Platform,9,372,32,2,Waterfall,Mixed,High
Cybersecurity Solution,6,72,28,7,Kanban,Senior,Medium
CRM System,5,297,19,8,Waterfall,Senior,Medium
AI / ML Project,28,569,21,6,Kanban,Senior,High
Mobile App,23,167,15,2,Agile,Senior,Medium
Mobile App,6,74,7,8,Agile,Senior,Low
ERP Implementation,6,31,21,4,Waterfall,Senior,Medium
CRM System,4,88,6,11,Hybrid,Junior,Medium
Web Application,9,177,17,8,Agile,Senior,Low
Data Analytics Platform,20,317,24,3,Agile,Junior,High
Cybersecurity Solution,17,27,19,5,Hybrid,Junior,High
Mobile App,3,212,26,2,Waterfall,Senior,High
Cloud Migration,2,20,27,7,Hybrid,Senior,Medium
ERP Implementation,3,160,5,6,Scrum,Senior,Medium
Web Application,2,99,4,6,Agile,Mixed,Medium
Web Application,5,181,30,3,Kanban,Mixed,Medium
Cybersecurity Solution,4,32,20,6,Scrum,Junior,Medium
AI / ML Project,6,135,19,5,Scrum,Senior,Medium
IoT Development,12,105,4,3,Kanban,Mixed,Medium
AI / ML Project,25,50,14,10,Kanban,Senior,Medium
Data Analytics Platform,2,751,3,5,Waterfall,Senior,High
Web Application,9,110,3,6,Agile,Junior,Medium
Data Analytics Platform,7,155,31,6,Agile,Mixed,Medium
Data Analytics Platform,6,60,19,6,Agile,Senior,Medium
Cybersecurity Solution,13,77,6,9,Agile,Senior,Medium
IoT Development,14,131,32,6,Hybrid,Junior,High
AI / ML Project,8,356,10,5,Scrum,Junior,Medium
Cybersecurity Solution,22,140,36,6,Hybrid,Mixed,High
E-Commerce Platform,8,72,24,9,Agile,Mixed,Medium
CRM System,6,176,24,7,Waterfall,Mixed,Medium
E-Commerce Platform,4,65,17,8,Agile,Senior,Medium
Data Analytics Platform,5,110,22,9,Waterfall,Senior,Medium
Cloud Migration,2,88,35,5,Agile,Senior,Medium
IoT Development,8,273,8,10,Kanban,Senior,Medium
Cybersecurity Solution,6,52,11,7,Kanban,Junior,Medium
E-Commerce Platform,7,54,13,6,Agile,Mixed,Medium
E-Commerce Platform,7,254,23,5,Scrum,Junior,Medium
AI / ML Project,28,24,3,2,Agile,Junior,Medium
Cloud Migration,23,87,20,4,Waterfall,Senior,High
Mobile App,3,61,19,5,Kanban,Mixed,Medium
Mobile App,3,24,24,5,Hybrid,Senior,Medium
Mobile App,5,171,10,7,Hybrid,Mixed,Medium
Cloud Migration,7,92,19,4,Agile,Junior,Medium
Cloud Migration,4,259,4,4,Waterfall,Junior,High
E-Commerce Platform,10,100,30,4,Agile,Mixed,Medium
Mobile App,5,52,8,2,Waterfall,Junior,Medium
Cybersecurity Solution,22,190,19,2,Hybrid,Senior,High
CRM System,4,260,30,12,Waterfall,Senior,High
IoT Development,4,320,33,3,Kanban,Mixed,Medium
Cybersecurity Solution,2,267,11,3,Hybrid,Senior,Medium
Mobile App,10,151,3,6,Waterfall,Junior,Medium
IoT Development,10,132,35,8,Scrum,Junior,High
IoT Development,6,61,7,1,Kanban,Senior,Low
AI / ML Project,23,320,29,6,Scrum,Mixed,High
AI / ML Project,25,291,14,4,Agile,Mixed,High
Web Application,17,30,33,5,Kanban,Senior,Medium
ERP Implementation,5,306,2,8,Agile,Junior,Medium
E-Commerce Platform,25,86,31,3,Kanban,Senior,Medium
Cloud Migration,10,1225,16,7,Waterfall,Senior,High
IoT Development,5,278,3,5,Agile,Senior,Low
AI / ML Project,7,260,11,11,Scrum,Senior,Medium
CRM System,12,34,28,7,Agile,Mixed,Medium
IoT Development,6,721,3,7,Scrum,Senior,Medium
Cloud Migration,20,69,36,4,Hybrid,Mixed,High
Cybersecurity Solution,12,178,30,6,Agile,Mixed,High
Mobile App,11,186,12,4,Hybrid,Mixed,Medium
IoT Development,29,239,23,7,Waterfall,Senior,High
Mobile App,10,148,19,6,Waterfall,Senior,Medium
Data Analytics Platform,5,100,3,8,Waterfall,Junior,Medium
AI / ML Project,6,190,5,9,Waterfall,Junior,High
Cloud Migration,4,38,34,6,Kanban,Mixed,Medium
Web Application,6,53,35,5,Scrum,Senior,Low
Cybersecurity Solution,27,237,36,7,Agile,Mixed,High
CRM System,3,235,22,6,Kanban,Senior,Medium
Cybersecurity Solution,13,56,25,7,Waterfall,Mixed,High
Web Application,5,53,9,8,Kanban,Junior,Medium
Web Application,7,143,2,3,Scrum,Senior,Low
Cybersecurity Solution,4,22,12,4,Hybrid,Junior,Medium
Cybersecurity Solution,14,631,13,2,Kanban,Junior,High
AI / ML Project,24,87,35,8,Scrum,Junior,High
Cybersecurity Solution,28,82,17,3,Agile,Junior,High
Mobile App,4,231,5,6,Hybrid,Junior,Medium
Cybersecurity Solution,2,231,11,6,Hybrid,Junior,High
E-Commerce Platform,7,133,22,7,Scrum,Mixed,Medium
ERP Implementation,6,360,13,8,Hybrid,Junior,High
IoT Development,12,66,36,6,Agile,Senior,Medium
Mobile App,8,178,14,2,Hybrid,Mixed,Medium
CRM System,3,42,14,3,Hybrid,Mixed,Medium
Data Analytics Platform,4,58,15,8,Waterfall,Senior,Medium
AI / ML Project,9,80,22,9,Scrum,Junior,High
Cloud Migration,6,310,3,6,Kanban,Junior,Medium
CRM System,10,417,28,7,Kanban,Mixed,Medium
Web Application,3,725,28,7,Hybrid,Junior,High
AI / ML Project,7,393,1,5,Scrum,Mixed,Medium
Cloud Migration,13,57,31,6,Hybrid,Junior,High
Web Application,5,75,5,4,Hybrid,Senior,Low
ERP Implementation,4,251,21,5,Scrum,Mixed,Medium
Web Application,11,57,11,7,Waterfall,Mixed,Medium
CRM System,7,227,13,4,Agile,Junior,Medium
Cybersecurity Solution,5,86,10,7,Kanban,Junior,Medium
E-Commerce Platform,20,239,10,7,Waterfall,Mixed,High
Web Application,14,514,23,7,Agile,Senior,Medium
Cloud Migration,3,82,3,8,Agile,Mixed,Medium
E-Commerce Platform,2,358,6,7,Hybrid,Mixed,Medium
IoT Development,2,177,28,4,Scrum,Junior,High
Cybersecurity Solution,9,248,22,8,Hybrid,Junior,High
CRM System,6,313,10,3,Scrum,Junior,Medium
ERP Implementation,8,97,31,7,Hybrid,Senior,Medium
E-Commerce Platform,29,485,2,4,Waterfall,Mixed,Medium
Data Analytics Platform,10,412,17,8,Waterfall,Junior,High
Cloud Migration,7,273,18,4,Waterfall,Junior,High
E-Commerce Platform,8,205,9,8,Scrum,Senior,Low
IoT Development,21,224,25,6,Waterfall,Junior,High
Data Analytics Platform,9,84,24,7,Scrum,Senior,Medium
Cloud Migration,9,318,20,2,Waterfall,Mixed,High
CRM System,14,126,28,4,Kanban,Mixed,Medium
ERP Implementation,18,65,16,4,Hybrid,Mixed,High
Cybersecurity Solution,14,242,22,4,Scrum,Junior,High
Mobile App,10,438,4,5,Waterfall,Junior,Medium
ERP Implementation,7,98,10,4,Agile,Mixed,Medium
Cybersecurity Solution,3,394,16,3,Waterfall,Senior,High
Data Analytics Platform,5,106,25,14,Waterfall,Senior,High
IoT Development,8,28,30,7,Scrum,Senior,Medium
Web Application,8,1073,9,7,Scrum,Mixed,Medium
Cloud Migration,8,67,17,7,Hybrid,Mixed,Medium
Mobile App,6,167,4,4,Scrum,Junior,Medium
AI / ML Project,5,199,13,7,Agile,Senior,Medium
Cybersecurity Solution,8,93,30,13,Agile,Junior,High
Cloud Migration,2,124,14,4,Waterfall,Mixed,High
Data Analytics Platform,9,222,13,4,Scrum,Junior,Medium
CRM System,4,47,2,8,Waterfall,Senior,Low
Cybersecurity Solution,10,65,6,6,Kanban,Junior,Medium
Data Analytics Platform,3,79,24,4,Kanban,Senior,Medium
ERP Implementation,6,56,17,4,Agile,Junior,Medium
ERP Implementation,4,108,29,6,Scrum,Junior,High
Cloud Migration,4,193,32,5,Agile,Junior,High
E-Commerce Platform,5,157,34,10,Waterfall,Senior,Medium
Data Analytics Platform,12,116,12,6,Waterfall,Junior,High
E-Commerce Platform,3,97,35,8,Scrum,Senior,Medium
Cloud Migration,5,23,16,9,Agile,Junior,Medium
IoT Development,14,50,12,6,Scrum,Mixed,Medium
Web Application,9,69,25,6,Kanban,Mixed,Medium
Web Application,4,174,9,7,Hybrid,Junior,Medium
Cloud Migration,7,219,14,8,Hybrid,Mixed,Medium
IoT Development,7,159,32,4,Scrum,Junior,Medium
IoT Development,4,377,12,6,Waterfall,Junior,High
Web Application,5,569,2,12,Waterfall,Junior,High
IoT Development,6,205,13,7,Agile,Mixed,Medium
CRM System,15,245,29,5,Hybrid,Senior,Medium
Mobile App,12,240,20,9,Scrum,Junior,Medium
Cloud Migration,5,385,25,2,Scrum,Mixed,Medium
IoT Development,2,414,26,7,Hybrid,Junior,High
Mobile App,2,127,23,9,Waterfall,Senior,High
Cybersecurity Solution,8,181,23,6,Agile,Mixed,Medium
IoT Development,11,135,2,12,Hybrid,Senior,Medium
AI / ML Project,11,1547,10,4,Kanban,Senior,High
IoT Development,13,120,28,5,Agile,Senior,Medium
Cloud Migration,4,375,33,7,Agile,Senior,Medium
E-Commerce Platform,13,13,1,3,Waterfall,Junior,Medium
ERP Implementation,9,78,28,5,Kanban,Junior,High
Web Application,16,309,33,9,Kanban,Senior,Medium
Data Analytics Platform,4,31,1,6,Agile,Senior,Low
CRM System,12,207,35,8,Waterfall,Junior,High
Cybersecurity Solution,9,200,11,3,Kanban,Mixed,Medium
Cloud Migration,2,141,26,6,Scrum,Junior,High
Cybersecurity Solution,2,117,16,7,Agile,Junior,High
ERP Implementation,4,297,33,4,Agile,Mixed,Medium
Cybersecurity Solution,8,105,11,8,Hybrid,Senior,Medium
IoT Development,8,217,32,6,Hybrid,Mixed,High
Mobile App,10,912,11,4,Scrum,Junior,Medium
CRM System,10,55,19,8,Scrum,Senior,Medium
Cybersecurity Solution,7,397,32,8,Waterfall,Junior,High
AI / ML Project,5,103,20,8,Hybrid,Senior,Medium
ERP Implementation,25,78,36,4,Hybrid,Junior,High
AI / ML Project,12,65,7,5,Waterfall,Senior,Medium
Data Analytics Platform,14,148,3,4,Scrum,Mixed,Low
Cybersecurity Solution,7,96,26,3,Kanban,Junior,Medium
ERP Implementation,2,31,15,6,Scrum,Senior,Medium
E-Commerce Platform,7,217,35,4,Kanban,Mixed,Medium
E-Commerce Platform,8,82,11,3,Kanban,Mixed,Low
Data Analytics Platform,8,166,23,9,Agile,Junior,High
ERP Implementation,14,175,30,7,Kanban,Junior,High
AI / ML Project,5,127,22,8,Waterfall,Senior,High
CRM System,7,431,5,5,Kanban,Senior,Low
Cybersecurity Solution,2,297,4,9,Hybrid,Mixed,High
Data Analytics Platform,5,99,8,8,Hybrid,Senior,Low
Cloud Migration,7,168,32,5,Kanban,Junior,Medium
ERP Implementation,2,382,2,6,Agile,Junior,High
Cybersecurity Solution,11,120,11,6,Agile,Mixed,Medium
Web Application,12,466,31,5,Agile,Mixed,Medium
ERP Implementation,28,194,30,10,Hybrid,Junior,High
Data Analytics Platform,3,80,27,6,Agile,Senior,Medium
Mobile App,14,292,26,12,Waterfall,Senior,Medium
IoT Development,9,145,10,6,Kanban,Mixed,Medium
IoT Development,3,98,3,2,Waterfall,Senior,Medium
Cybersecurity Solution,4,156,21,7,Hybrid,Senior,Medium
ERP Implementation,6,181,34,7,Scrum,Senior,Medium
Cloud Migration,13,77,19,7,Hybrid,Junior,High
Web Application,17,101,27,7,Hybrid,Junior,High
Cloud Migration,2,21,23,6,Agile,Mixed,High
Web Application,7,111,6,3,Kanban,Senior,Low
AI / ML Project,8,45,15,3,Waterfall,Senior,Medium
E-Commerce Platform,4,32,19,11,Hybrid,Senior,Medium
AI / ML Project,7,104,9,6,Kanban,Junior,Medium
CRM System,14,141,10,9,Agile,Mixed,Medium
Cloud Migration,9,99,28,6,Agile,Senior,Medium
E-Commerce Platform,10,35,1,8,Agile,Mixed,Low
Data Analytics Platform,9,279,4,10,Scrum,Mixed,Medium
ERP Implementation,7,148,7,4,Scrum,Junior,Medium
CRM System,10,610,17,5,Agile,Mixed,Medium
ERP Implementation,7,1491,5,6,Agile,Junior,High
AI / ML Project,17,236,20,9,Scrum,Senior,High
ERP Implementation,7,854,17,5,Hybrid,Junior,High
Cloud Migration,4,93,10,5,Agile,Junior,Medium
E-Commerce Platform,5,81,3,5,Kanban,Junior,Medium
Mobile App,7,91,7,5,Agile,Junior,Medium
E-Commerce Platform,8,241,1,4,Agile,Mixed,Medium
E-Commerce Platform,3,157,22,4,Waterfall,Senior,High
Cybersecurity Solution,3,46,12,8,Agile,Senior,Medium
Web Application,17,62,35,7,Kanban,Junior,High
E-Commerce Platform,6,410,8,13,Scrum,Junior,Medium
Mobile App,11,24,11,6,Waterfall,Senior,Low
Web Application,10,163,5,6,Agile,Junior,Medium
Mobile App,3,49,34,4,Hybrid,Junior,High
AI / ML Project,8,167,36,10,Waterfall,Junior,High
Mobile App,26,361,5,7,Kanban,Senior,Medium
IoT Development,17,63,22,6,Waterfall,Junior,High
ERP Implementation,4,216,11,5,Scrum,Senior,Medium
CRM System,6,391,28,4,Agile,Mixed,Medium
IoT Development,3,109,6,5,Scrum,Junior,High
Data Analytics Platform,14,86,18,8,Waterfall,Senior,Medium
Cloud Migration,6,146,18,2,Kanban,Junior,Medium
Web Application,5,97,6,4,Waterfall,Junior,Medium
Cybersecurity Solution,9,562,19,5,Hybrid,Junior,High
Cybersecurity Solution,4,15,27,4,Scrum,Junior,Medium
Web Application,16,104,21,2,Agile,Junior,Medium
Data Analytics Platform,5,149,7,10,Scrum,Mixed,Medium
ERP Implementation,5,73,22,4,Hybrid,Senior,Medium
Cloud Migration,7,131,26,4,Agile,Senior,Medium
E-Commerce Platform,13,251,3,7,Waterfall,Mixed,Medium
ERP Implementation,4,200,10,3,Waterfall,Junior,High
Mobile App,13,102,9,2,Hybrid,Mixed,Medium
Mobile App,12,288,2,6,Kanban,Mixed,Medium
Mobile App,28,10,4,4,Hybrid,Junior,Medium
Web Application,5,438,10,6,Kanban,Junior,Medium
ERP Implementation,4,49,29,4,Scrum,Senior,Medium
IoT Development,7,170,30,7,Kanban,Junior,High
E-Commerce Platform,8,66,15,5,Agile,Senior,Low
Cloud Migration,4,106,19,6,Kanban,Mixed,Medium
IoT Development,4,425,5,9,Waterfall,Mixed,High
CRM System,8,54,35,5,Hybrid,Mixed,Medium
Mobile App,9,125,11,9,Waterfall,Junior,High
ERP Implementation,5,14,19,7,Hybrid,Junior,High
E-Commerce Platform,7,72,31,3,Scrum,Senior,Low
CRM System,15,210,13,4,Waterfall,Junior,High
AI / ML Project,10,68,18,3,Scrum,Senior,Medium
Cloud Migration,5,933,27,5,Agile,Junior,High
IoT Development,5,72,4,4,Agile,Junior,Medium
E-Commerce Platform,14,25,19,5,Hybrid,Mixed,Medium
CRM System,7,411,28,8,Scrum,Mixed,Medium
E-Commerce Platform,6,218,6,4,Kanban,Senior,Low
IoT Development,21,76,25,11,Agile,Senior,High
Data Analytics Platform,10,119,28,5,Scrum,Mixed,Medium
Cybersecurity Solution,16,60,20,6,Scrum,Senior,Medium
Cybersecurity Solution,6,119,12,4,Scrum,Senior,Medium
Cybersecurity Solution,6,410,32,9,Agile,Mixed,High
Mobile App,23,70,4,1,Kanban,Senior,Low
E-Commerce Platform,7,64,21,6,Kanban,Senior,Medium
Data Analytics Platform,7,82,30,3,Waterfall,Junior,High
IoT Development,9,134,17,6,Waterfall,Junior,High
Web Application,4,153,12,10,Hybrid,Senior,Low
CRM System,7,104,2,8,Agile,Junior,Medium
Web Application,7,52,16,3,Hybrid,Mixed,Low
ERP Implementation,5,108,33,10,Hybrid,Mixed,High
ERP Implementation,13,55,23,6,Kanban,Mixed,Medium
Data Analytics Platform,4,296,21,4,Agile,Junior,High
Web Application,3,181,19,6,Agile,Junior,High
ERP Implementation,4,182,10,10,Scrum,Senior,Medium
Web Application,5,183,34,8,Scrum,Mixed,Medium
Web Application,4,97,2,9,Waterfall,Senior,Low
AI / ML Project,7,312,27,9,Waterfall,Mixed,High
AI / ML Project,7,18,3,10,Agile,Junior,Medium
ERP Implementation,4,111,9,5,Hybrid,Junior,High
Mobile App,12,243,12,3,Agile,Junior,Medium
Web Application,6,252,17,8,Kanban,Mixed,Medium
ERP Implementation,4,275,27,7,Agile,Mixed,Medium
ERP Implementation,6,167,19,5,Kanban,Senior,Medium
Cloud Migration,8,142,15,2,Scrum,Mixed,Low
IoT Development,12,235,5,7,Scrum,Senior,Medium
Web Application,8,80,31,10,Hybrid,Junior,High
ERP Implementation,7,150,32,6,Waterfall,Senior,Medium
Web Application,10,110,22,8,Kanban,Junior,Medium
Cybersecurity Solution,9,31,28,8,Agile,Junior,High
E-Commerce Platform,2,139,3,3,Scrum,Senior,Low
CRM System,5,273,32,5,Kanban,Senior,Medium
Cloud Migration,10,227,20,5,Kanban,Senior,Medium
Cloud Migration,3,462,31,9,Agile,Mixed,High
ERP Implementation,4,664,19,5,Hybrid,Junior,High
Cybersecurity Solution,15,369,25,10,Scrum,Junior,High
Data Analytics Platform,6,25,16,3,Scrum,Senior,Low
Web Application,4,424,29,7,Agile,Mixed,Medium
ERP Implementation,8,289,34,6,Kanban,Senior,Medium
Mobile App,20,162,10,6,Scrum,Mixed,Medium
IoT Development,11,113,32,5,Scrum,Mixed,Medium
ERP Implementation,5,540,9,5,Waterfall,Mixed,High
E-Commerce Platform,7,158,5,6,Agile,Mixed,Medium
Mobile App,10,240,6,8,Waterfall,Junior,High
IoT Development,7,63,29,9,Kanban,Mixed,Medium
Web Application,4,258,15,8,Agile,Mixed,Medium
ERP Implementation,25,431,13,5,Kanban,Junior,High
Mobile App,4,406,1,7,Agile,Senior,Low
Web Application,7,92,11,3,Hybrid,Junior,Medium
Cybersecurity Solution,9,348,4,10,Agile,Senior,Medium
Web Application,9,242,14,6,Agile,Mixed,Medium
Mobile App,5,429,29,6,Kanban,Senior,Medium
Web Application,9,24,8,6,Kanban,Mixed,Low
Web Application,9,30,33,6,Waterfall,Mixed,Medium
Mobile App,11,178,3,4,Hybrid,Junior,Medium
IoT Development,29,54,36,5,Hybrid,Mixed,High
Cybersecurity Solution,10,206,6,6,Agile,Mixed,Medium
E-Commerce Platform,3,46,11,9,Hybrid,Junior,High
Mobile App,7,281,8,8,Hybrid,Mixed,Medium
Cybersecurity Solution,13,45,4,3,Waterfall,Senior,Medium
ERP Implementation,14,147,25,6,Waterfall,Senior,High
E-Commerce Platform,9,176,22,4,Scrum,Senior,Medium
Web Application,5,255,15,5,Hybrid,Junior,Medium
ERP Implementation,14,17,13,6,Scrum,Junior,Medium
Mobile App,6,65,30,6,Agile,Junior,Medium
ERP Implementation,10,157,35,8,Agile,Senior,Medium
Cybersecurity Solution,8,87,32,1,Kanban,Senior,Medium
Cybersecurity Solution,12,200,31,5,Hybrid,Mixed,High
ERP Implementation,10,70,16,5,Hybrid,Mixed,Medium
IoT Development,3,183,14,6,Kanban,Mixed,High
Web Application,6,80,26,4,Scrum,Junior,Medium
Data Analytics Platform,6,65,5,6,Kanban,Senior,Low
Mobile App,26,66,24,8,Agile,Senior,Medium
CRM System,8,603,20,5,Waterfall,Junior,High
ERP Implementation,28,372,27,7,Hybrid,Senior,High
Mobile App,4,153,2,10,Scrum,Junior,Low
CRM System,9,116,7,11,Hybrid,Junior,Medium
Cloud Migration,8,513,11,6,Agile,Junior,High
Cloud Migration,7,37,3,4,Kanban,Mixed,Low
IoT Development,10,87,2,3,Waterfall,Junior,High
ERP Implementation,5,66,32,4,Scrum,Mixed,Medium
CRM System,6,138,29,4,Hybrid,Mixed,Medium
ERP Implementation,7,309,30,3,Waterfall,Senior,High
CRM System,6,216,15,5,Waterfall,Mixed,Medium
Cloud Migration,7,118,15,5,Scrum,Mixed,Medium
AI / ML Project,9,29,8,9,Agile,Mixed,Medium
IoT Development,20,122,9,8,Kanban,Senior,Medium
IoT Development,5,78,20,6,Hybrid,Junior,High
E-Commerce Platform,8,217,20,7,Kanban,Mixed,Medium
Cloud Migration,6,379,7,6,Waterfall,Senior,Medium
Web Application,19,334,26,4,Agile,Senior,Medium
Cybersecurity Solution,6,129,29,7,Waterfall,Junior,High
Mobile App,7,143,6,8,Hybrid,Mixed,Medium
ERP Implementation,8,153,16,7,Kanban,Mixed,Medium
Mobile App,27,251,8,7,Agile,Mixed,Medium
CRM System,23,97,18,4,Waterfall,Mixed,High
CRM System,19,308,2,6,Scrum,Senior,Low
Cybersecurity Solution,9,248,29,5,Scrum,Junior,High
Mobile App,3,152,19,4,Agile,Senior,Medium
Mobile App,6,347,34,10,Scrum,Mixed,Medium
Data Analytics Platform,3,449,29,5,Scrum,Mixed,Medium
Mobile App,3,281,10,5,Hybrid,Mixed,Medium
AI / ML Project,11,115,6,5,Scrum,Junior,Medium
CRM System,6,61,15,5,Waterfall,Mixed,Medium
CRM System,4,295,31,5,Waterfall,Senior,Medium
ERP Implementation,7,190,22,5,Scrum,Junior,High
Data Analytics Platform,20,247,12,3,Hybrid,Senior,Medium
Web Application,23,35,23,3,Kanban,Mixed,Medium
Web Application,6,259,5,5,Hybrid,Mixed,Medium
CRM System,4,70,36,4,Agile,Junior,Medium
Data Analytics Platform,5,30,14,4,Waterfall,Senior,Medium
E-Commerce Platform,4,168,3,3,Hybrid,Mixed,Low
ERP Implementation,10,198,12,3,Waterfall,Junior,High
Mobile App,7,16,5,7,Hybrid,Mixed,Low
Mobile App,6,134,24,6,Hybrid,Senior,Medium
CRM System,8,100,35,4,Scrum,Senior,Medium
Data Analytics Platform,28,312,9,6,Hybrid,Junior,High
Web Application,2,96,5,4,Waterfall,Mixed,Medium
IoT Development,27,109,35,9,Hybrid,Junior,High
Data Analytics Platform,25,68,24,9,Hybrid,Mixed,High
CRM System,10,335,12,5,Scrum,Senior,Medium
ERP Implementation,8,385,23,8,Scrum,Mixed,Medium
AI / ML Project,3,110,21,7,Scrum,Junior,High
Cybersecurity Solution,8,53,28,8,Kanban,Junior,High
Mobile App,6,181,34,6,Kanban,Senior,Low
ERP Implementation,4,1128,3,2,Hybrid,Senior,Medium
IoT Development,7,334,31,5,Waterfall,Junior,High
CRM System,4,178,18,6,Agile,Mixed,Medium
IoT Development,4,588,6,5,Waterfall,Senior,High
E-Commerce Platform,3,220,3,4,Hybrid,Senior,Medium
Web Application,4,99,10,3,Scrum,Junior,Low
CRM System,15,145,33,8,Kanban,Junior,High
Web Application,23,78,9,5,Agile,Senior,Medium
Data Analytics Platform,8,115,6,4,Scrum,Senior,Low
Cybersecurity Solution,3,273,36,9,Agile,Senior,High
E-Commerce Platform,5,99,26,4,Agile,Mixed,Medium
Data Analytics Platform,4,332,36,4,Agile,Senior,Medium
AI / ML Project,5,412,35,10,Waterfall,Mixed,High
IoT Development,11,27,19,8,Waterfall,Mixed,High
Cloud Migration,29,102,33,3,Kanban,Junior,High
CRM System,26,128,11,1,Scrum,Mixed,Medium
E-Commerce Platform,11,176,12,7,Hybrid,Mixed,Medium
Cybersecurity Solution,10,211,9,5,Scrum,Senior,Medium
IoT Development,5,86,23,4,Waterfall,Junior,High
CRM System,5,93,36,6,Scrum,Mixed,Medium
ERP Implementation,4,114,21,8,Kanban,Senior,Medium
ERP Implementation,3,95,19,4,Kanban,Mixed,High
E-Commerce Platform,8,753,22,4,Hybrid,Senior,Medium
E-Commerce Platform,12,18,17,7,Hybrid,Senior,Low
AI / ML Project,4,75,18,4,Waterfall,Junior,High
Mobile App,8,112,36,2,Waterfall,Senior,Medium
Web Application,17,193,7,2,Kanban,Mixed,Medium
Mobile App,24,48,25,3,Scrum,Senior,Low
AI / ML Project,7,202,28,7,Kanban,Junior,High
